InvoiceDate,ClNumber,Portfolio,Total,Downpayment,Subsidy,InitialCreditAmount,ProductMix,Days Overdue as of 01.08,OverdueInstallmentsAmount,OverdueInstallments,DaysTillNextPayment,Branch,Balanceas of 01.08,Days Overdue as of 01.05,Overdue Amount,Manager,Contact updated,Current address updated,System located at indicated address,Client knows he has a debt,Client knows the amount of a debt,Client willing and capable to pay,Amount a client can pay this month,Last payment date,Last payment amount,Last payment method,Client knows the options of paying,The system is working,Date of the last contact by staff,Category
5/18/2020,A1AA06032,Sec/Third T,12162.5,1662.5,0,10500,Home System,0,0,0,26,B3,1540000,0,0,MJK,yes,yes,yes,,,,,,,,,,,CLAIMS TO HAVE COMPLETED PAYMNT
5/18/2020,B2AA04628,Sec/Third T,23853.12188,2400,0,21453.12188,Home System,122,1368000,5,29,B3,4800999,151,1368000,MJK,yes,yes,yes,yes,yes,yes,not this month,in apirl,,,yes,yes ,last week,CLIENT WILLING PAY OR LOCKDWN  
5/18/2020,C3AA04628,Sec/Third T,23853.12188,2400,0,21453.12188,Home System,122,1368000,5,29,B3,4800999,151,1368000,MJK,yes,yes,yes,yes,yes,yes,not this month,in apirl,,,yes,yes ,last week,CLIENT WILLING PAY OR LOCKDWN  
5/21/2020,A4C102101,Sec/Third T,5550,675,0,4875,Home System,208,802000,6,4,B11,802000,206,802000,,,,,,802000,,,,,,,,,CLIENT NUMBER NOT AVAILABLE
5/21/2020,B5AA06034,Sec/Third T,12425,1250,0,11175,Home System,240,1149000,8,2,,,,,,,,,,,,,,,,,,,
5/30/2020,C6G905194,Sec/Third T,16949.99688,10234.375,0,6715.621875,Large Home System,199,1169000,7,13,B10,1348999,228,1348999,MJK,yes,yes,yes,yes,YES,yes,,2 weeks ago,doesn’t remember,mobile money,,yes,,CLIENT WILLING PAY OR LOCKDWN  
5/21/2020,A7CB04867,Sec/Third T,20018.74688,2428.125,0,17590.62188,Large Home System,0,0,0,5,,,,,,,,,,,,,,,,,,,
8/13/2020,B8FC08027,Sec/Third T,54064.66875,26950,0,27114.66875,Large Home System,33,1374000,2,28,,,,,,,,,,,,,,,,,,,
3/28/2020,C9FC04335,First T,25968.7375,15625,0,10343.7375,Home System,0,0,0,0,,,,,,,,,,,,,,,,,,,
6/4/2020,A10L105274,Sec/Third T,4650,562.5,0,4087.5,Home System,193,679000,6,19,,,,,,,,,,,,,,,,,,,
6/16/2020,B11K206698,Sec/Third T,11512.5,1162.5,0,10350,Home System,305,1478000,11,30,,,,,,,,,,,,,,,,,,,
5/20/2020,C12A105513,Sec/Third T,27053.12188,2750,0,24303.12188,Large Home System,57,364000,1,4,,,,,,,,,,,,,,,,,,,
6/4/2020,A13H202223,Sec/Third T,7837.5,787.5,0,7050,Home System,165,514000,5,17,B4,1676000,163,548000,MJK,yes,yes,yes,yes,not sure,yes,but its the husband that makes payments ,,,,,YES,,CLIENT WILLING PAY OR LOCKDWN  
6/18/2020,B14D503035,Sec/Third T,3843.75,956.25,0,2887.5, Component ,464,634635,8,0,,,,,,,,,,,,,,,,,,,
6/4/2020,C15H707904,Sec/Third T,12600,1500,0,11100,Home System,140,633000,4,11,,,,,,,,,,,,,,,,,,,
7/17/2020,A16H707905,Sec/Third T,12428.125,1253.125,0,11175,Home System,272,1326000,9,1,,,,,,,,,,,,,,,,,,,
6/24/2020,B17K703522,Sec/Third T,9275,3125,0,6150,Home System,104,634000,4,16,,,,,,,,,,,,,,,,,,,
6/26/2020,C18K703623,Sec/Third T,7862.5,1562.5,0,6300,Home System,76,787.5,3,16,B17,3937.5,,787.5,MMM,yes,yes,yes,yes,YES,no,,20/2/2020,100000,BANK,,NO,MAY,SERVICECASES BATTERIES WARRANTY
5/31/2020,A19G305023,Sec/Third T,9218.75,1118.75,0,8100,Home System,79,468.75,3,13,B10,468.75,108,468.75,MJK,yes,,,,,,,,,,,,,CLIENT NUMBER NOT AVAILABLE
7/31/2020,B20C404953,First T,71179.66563,43750,0,27429.66563,Large Home System,0,3387.5,0,0,,3387.5,,3387.5,,,,,,,,,,,,,,,
6/2/2020,C21F804548,Sec/Third T,5575,625,0,4950,Home System,318,3296.875,11,17,,4171.875,,3578.125,,,,,,,,,,,,,,,
6/5/2020,A22F804640,Sec/Third T,8656.25,6875,0,1781.25,Home System,319,312.5,3,0,,179.41875,,312.5,,,,,,,,,,,,,,,
5/30/2020,B23K104904,Sec/Third T,7587.5,762.5,0,6825,Home System,138,4956.25,5,13,,4956.25,,4956.25,,,,,,,,,,,,,,,
6/17/2020,C24H706910,Sec/Third T,12421.875,1246.875,0,11175,Home System,241,6584.375,8,1,,1987.5,,6584.375,,,,,,,,,,,,,,,
9/16/2020,A25FB06132,Sec/Third T,3378.125,0.315625,0,3377.809375,Nonstandard System,411,10287.5,17,0,,11068.74375,,11068.74375,,,,,,,,,,,,,,,
8/3/2020,B26M100886,Sec/Third T,45090.62188,19775,0,25315.62188,Nonstandard System,0,687.5,0,0,,687.5,,687.5,,,,,,,,,,,,,,,
6/11/2020,C27FC08093,First T,16802.18438,210.9375,0,16591.24688,Nonstandard System,382,2078.125,3,0,,2078.125,,2078.125,,,,,,,,,,,,,,,
6/26/2020,A28H704799,First T,34451.2375,18826.2375,0,15625,Nonstandard System,320,9312.5,1,0,,9778.125,,9778.125,,,,,,,,,,,,,,,
6/4/2020,B29FC08093,First T,16802.18438,210.9375,0,16591.24688,Nonstandard System,382,2162.5,3,0,,2162.5,,2162.5,,,,,,,,,,,,,,,
5/25/2020,C30FC08093,First T,16802.18438,210.9375,0,16591.24688,Nonstandard System,382,1109.375,3,0,,1109.375,,1109.375,,,,,,,,,,,,,,,
8/27/2020,A31FB06512,Sec/Third T,53043.375,6812.5,11353.125,34877.75,Nonstandard System,170,418.75,6,11,,418.75,,418.75,,,,,,,,,,,,,,,
6/29/2020,B32M100857,First T,49730.625,0.315625,12434.375,37295.93438,Nonstandard System,290,3250,1,0,,3250,,3250,,,,,,,,,,,,,,,
5/8/2020,C33FC07889,First T,70253.1,37440.6,0,32812.5,Nonstandard System,0,7671.86875,0,0,,5071.86875,,7671.86875,,,,,,,,,,,,,,,
3/19/2020,A34M100877,First T,208200.1969,0.315625,0,208199.8813,Nonstandard System,0,7671.86875,0,0,,2600,,7671.86875,,,,,,,,,,,,,,,
3/5/2020,B35FC06491,First T,41507.175,0.315625,0,41506.85938,Nonstandard System,0,637.5,0,0,,481.25,,481.25,,,,,,,,,,,,,,,
3/3/2020,C36FC06491,First T,41507.175,0.315625,0,41506.85938,Nonstandard System,0,2418.75,0,0,,2418.75,,2418.75,,,,,,,,,,,,,,,
3/31/2020,A37G905124,First T,95073.24375,35698.24375,15625,43750,Nonstandard System,333,2265.625,1,0,,763.259375,,2265.625,,,,,,,,,,,,,,,
3/28/2020,B38FC07898,First T,86871.14063,0.315625,0,86870.825,Nonstandard System,355,3793.75,1,0,,797.121875,,3793.75,,,,,,,,,,,,,,,
11/20/2019,C39L701649,First T,45720.625,3.125,0,45717.5,Nonstandard System,0,996.875,0,0,,996.875,,996.875,,,,,,,,,,,,,,,
3/31/2019,A40M100732,First T,125088.4375,93750,0,31338.4375,Nonstandard System,0,3609.375,0,0,,3609.375,,3609.375,,,,,,,,,,,,,,,
2/28/2019,B41M100709,Sec/Third T,22733.125,0,0,22733.125,Nonstandard System,0,1625,0,0,,1415.971875,,1625,,,,,,,,,,,,,,,
2/28/2019,C42M100709,Sec/Third T,22733.125,0,0,22733.125,Nonstandard System,0,1812.5,0,0,,1597.125,,1812.5,,,,,,,,,,,,,,,
2/28/2019,A43M100709,Sec/Third T,22733.125,0,0,22733.125,Nonstandard System,0,13137.5,0,0,,4835.028125,,13137.5,,,,,,,,,,,,,,,
2/28/2019,B44M100709,Sec/Third T,22733.125,0,0,22733.125,Nonstandard System,0,1006.25,0,0,,183.925,,1006.25,,,,,,,,,,,,,,,
2/28/2019,C45M100709,Sec/Third T,22715.9375,0,0,22715.9375,Nonstandard System,0,5628.125,0,0,,5628.125,,5628.125,,,,,,,,,,,,,,,
2/28/2019,A46M100709,Sec/Third T,22733.125,0,0,22733.125,Nonstandard System,0,387.5,0,0,,381.821875,,387.5,,,,,,,,,,,,,,,
2/28/2019,B47M100709,Sec/Third T,22733.125,0,0,22733.125,Nonstandard System,0,2456.25,0,0,,2456.25,,2456.25,,,,,,,,,,,,,,,
2/28/2019,C48M100709,Sec/Third T,22749.0625,0,0,22749.0625,Nonstandard System,0,2327.959375,0,0,,715.390625,,2327.959375,,,,,,,,,,,,,,,
10/13/2020,A49M100879,First T,35546.55,19921.875,0,15624.675,Nonstandard System,0,2327.959375,0,0,,1521.94375,,2327.959375,,,,,,,,,,,,,,,
2/29/2020,B50M100877,First T,256646.7625,115781.8125,0,140864.95,Nonstandard System,0,7159.375,0,0,,7159.375,,7159.375,,,,,,,,,,,,,,,
3/25/2020,C51FB06132,Sec/Third T,10103.125,1040.625,2312.5,6750,Nonstandard System,411,687.5,17,0,,687.5,,687.5,,,,,,,,,,,,,,,
5/31/2020,A52G905099,First T,121875,42500,15625,63750,Nonstandard System,394,2812.5,2,0,,1522.940625,,2812.5,,,,,,,,,,,,,,,
2/24/2020,B53K206902,Sec/Third T,54753.5,6250,11678.125,36825.375,Nonstandard System,0,625,0,0,,625,,625,,,,,,,,,,,,,,,
1/31/2020,C54M100835,First T,252841.8813,0.315625,0,252841.5656,Nonstandard System,0,531.25,0,0,,531.25,,531.25,,,,,,,,,,,,,,,
2/25/2020,A55K507288,First T,94340.93125,0.31875,0,94340.6125,Nonstandard System,0,96.875,0,0,,96.875,,96.875,,,,,,,,,,,,,,,
1/29/2020,B56M100719,First T,12546.875,0.315625,0,12546.55938,Nonstandard System,154,7937.5,4,0,,8787.5,,8362.5,,,,,,,,,,,,,,,
2/22/2020,C57FB05901,First T,10360.2125,0.315625,0,10359.89688,Nonstandard System,417,7225,1,0,,8075,,7650,,,,,,,,,,,,,,,
1/5/2017,A58C402238,First Transh,4265.625,328.125,937.5,3000,Others,500,7671.875,12,0,,7671.875,,7671.875,,,,,,,,,,,,,,,
10/24/2019,B59K20134,Sec/Third T,6487.5,937.5,0,5550,One-tool system,210,7703.125,1,0,,7703.125,,7703.125,,,,,,,,,,,,,,,
9/25/2019,C60L402817,Sec/Third T,3650,1718.75,0,1931.25,One-tool system,539,843.75,14,0,,843.75,,843.75,,,,,,,,,,,,,,,
9/19/2019,A61M100711,First T,90500,0,0,90500,One-tool system,0,5112.5,0,0,,5568.75,,5568.75,,,,,,,,,,,,,,,
9/30/2019,B62FC06992,Sec/Third T,23567.75,6250,5203.125,12114.625,One-tool system,0,5200,0,0,,5200,,5200,,,,,,,,,,,,,,,
9/30/2019,C63AB0234,Sec/Third T,2784.375,496.875,0,2287.5,One-tool system,411,10240.625,1,0,,10706.25,,10706.25,,,,,,,,,,,,,,,
10/31/2019,A64B50304,Sec/Third T,6918.75,1406.25,0,5512.5,One-tool system,0,5734.375,0,0,,5734.375,,5734.375,,,,,,,,,,,,,,,
10/30/2019,B65K206506,Sec/Third T,4221.875,509.375,0,3712.5,One-tool system,503,1493.75,11,0,,1493.75,,1493.75,,,,,,,,,,,,,,,
11/7/2019,C66E60304,Sec/Third T,2775,337.5,0,2437.5,One-tool system,464,3975,10,0,,3975,,3975,,,,,,,,,,,,,,,
12/4/2019,A67E102532,Sec/Third T,19715.62188,2387.5,0,17328.12188,One-tool system,197,1437.5,2,0,,1437.5,,1437.5,,,,,,,,,,,,,,,
11/30/2019,B68AB02625,Sec/Third T,4950,600,0,4350,One-tool system,324,7684.375,6,0,B8,"7,656",353,7684.375,MJK,no,,,,,,,,,,,,,CLIENT NUMBER NOT AVAILABLE
11/30/2019,C69AB03707,Sec/Third T,6487.5,937.5,0,5550,One-tool system,290,8275,5,0,,48.175,,8275,,,,,,,,,,,,,,,
11/30/2019,A70CB03012,Sec/Third T,4862.5,587.5,0,4275,One-tool system,471,8156.25,12,0,,9881.25,,8587.5,,,,,,,,,,,,,,,
12/6/2019,B71G904747,Sec/Third T,7453.125,5781.25,0,1671.875,One-tool system,0,5643.75,0,0,,6493.75,,6068.75,,,,,,,,,,,,,,,
5/31/2020,C72G306208,Sec/Third T,25890.62188,4062.5,0,21828.12188,Large Home System,197,3675,7,15,B7,3675,226,3675,MJK,yes,yes,yes,yes,YES,yes,300000,22/4/2021,300000,BANK,YES,YES,after selling off his beans,CLIENT WILLING PAY OR LOCKDWN  
5/31/2020,A73G306208,Sec/Third T,25890.62188,4062.5,0,21828.12188,Large Home System,197,7590.625,7,15,B7,7590.625,226,7590.625,MJK,yes,yes,yes,yes,YES,yes,300000,22/4/2021,300000,BANK,YES,YES,after selling off his beans,CLIENT WILLING PAY OR LOCKDWN  
5/31/2020,B74G306208,Sec/Third T,25890.62188,4062.5,0,21828.12188,Large Home System,197,4146.875,7,15,B7,4146.875,226,4146.875,MJK,yes,yes,yes,yes,YES,yes,300000,22/4/2021,300000,BANK,YES,YES,after selling off his beans,CLIENT WILLING PAY OR LOCKDWN  
6/5/2020,C75AB04243,Sec/Third T,5918.75,593.75,0,5325,Home System,288,10087.5,9,16,,10087.5,,10087.5,,,,,,,,,,,,,,,
6/17/2020,A76AB04242,Sec/Third T,52714.675,5312.5,0,47402.175,Large Home System,196,2978.125,7,16,,3459.375,,3459.375,,,,,,,,,,,,,,,
12/16/2019,B77AB02396,Sec/Third T,3268.75,625,0,2643.75,One-tool system,428,304.6875,4,0,,304.6875,,304.6875,,,,,,,,,,,,,,,
12/19/2019,C78E40422,Sec/Third T,2390.625,290.625,0,2100,One-tool system,210,8312.5,3,0,B26,9975,,8728.125,MMM,yes,yes,yes,yes,YES,yes,0,last month,300000,MOBILE MONEY,YES,NO,June,SERVICECASES BATTERIES WARRANTY
12/30/2019,A79K103197,Sec/Third T,2281.25,1250,0,1031.25,One-tool system,320,7587.5,1,0,,7587.5,,7587.5,,,,,,,,,,,,,,,
12/19/2019,B80E10390,Sec/Third T,3112.5,468.75,0,2643.75,One-tool system,0,6406.25,0,0,,6406.25,,6406.25,,,,,,,,,,,,,,,
12/23/2019,C81E403755,Sec/Third T,2575,625,0,1950,One-tool system,206,7262.5,5,0,,7781.25,,7781.25,,,,,,,,,,,,,,,
5/7/2021,A82B503345,Sec/Third T,3359.375,734.375,0,2625,One-tool system,0,2818.75,0,22,,3635.515625,,3275,,,,,,,,,,,,,,,
1/10/2020,B83A50253,Sec/Third T,5471.875,1384.375,0,4087.5,One-tool system,197,5137.5,3,0,,5818.75,,5478.125,,,,,,,,,,,,,,,
1/29/2020,C84K302618,Sec/Third T,3287.5,400,0,2887.5,One-tool system,471,3731.25,20,0,,3731.25,,3731.25,,,,,,,,,,,,,,,
2/10/2020,A85A102039,Sec/Third T,2156.25,625,0,1531.25,One-tool system,730,2114.0625,8,0,,4420.3125,,2498.4375,,,,,,,,,,,,,,,
2/17/2020,B86CB02457,Sec/Third T,7837.5,787.5,0,7050,One-tool system,0,3978.125,0,0,,5025,,4187.5,,,,,,,,,,,,,,,
1/17/2020,C87AB02004,Sec/Third T,3037.5,937.5,0,2100,One-tool system,152,9062.5,6,30,,10500,,9421.875,,,,,,,,,,,,,,,
1/16/2020,A88DC03968,Sec/Third T,4181.25,506.25,0,3675,One-tool system,212,7200,4,0,,9900,,7650,,,,,,,,,,,,,,,
2/6/2020,B89K703190,Sec/Third T,6990.625,3259.375,0,3731.25,One-tool system,0,10734.375,0,0,,15028.125,,11450,,,,,,,,,,,,,,,
2/29/2020,C90K302669,First T,6956.25,3500,0,3456.25,One-tool system,0,62.5,0,0,,62.5,,62.5,,,,,,,,,,,,,,,
3/23/2020,A91B503395,Sec/Third T,6731.25,1781.25,0,4950,One-tool system,327,5193.75,1,0,B1,9693.75,,5643.75,MJK,,,,,,,,,,,,,,NOT CONTACTED AT ALL 
2/11/2020,B92E105192,Sec/Third T,8600,1250,0,7350,One-tool system,338,6750,3,25,,10800,,7200,,,,,,,,,,,,,,,
2/21/2020,C93L403426,Sec/Third T,4165.625,415.625,0,3750,One-tool system,390,12293.75,13,5,,20196.875,,13171.875,,,,,,,,,,,,,,,
6/22/2020,A94E402507,Sec/Third T,2978.125,1384.375,0,1593.75,One-tool system,206,6750,3,0,,10800,,7200,,,,,,,,,,,,,,,
10/23/2017,B95L10215,Second Transh,4565.625,1543.75,1240.625,1781.25,Others,1125,8009.375,1,0,,8009.375,,8009.375,,,,,,,,,,,,,,,
1/31/2018,C96G903017,Second Transh,12304.6875,1090.625,1465.625,9748.4375,Others,539,11990.625,18,8,B10,20400,568,12925,MJK,,,,,,,,,,,,,,CLIENT NUMBER NOT AVAILABLE
8/18/2018,A97L30044,Second Transh,4650,562.5,0,4087.5,Others,638,6046.875,10,0,B27,10237.5,,6512.5,MMM,yes,yes,yes,yes,YES,no,,2019,Not sure,MOBILE MONEY,YES,NO,,SERVICECASES BATTERIES WARRANTY
10/8/2018,B98K303997,Second Transh,20722.03125,10159.375,0,10562.65625,Others,0,3134.375,0,0,,6818.75,,3543.75,,,,,,,,,,,,,,,
2/20/2019,C99L104015,Sec/Third T,13718.75,5843.75,0,7875,Others,635,0,1,0,,925,,0,,,,,,,,,,,,,,,
6/24/2020,A100K703632,Sec/Third T,9312.5,2187.5,0,7125,Home System,173,9553.125,6,8,B17,9553.125,,9553.125,MMM,yes,yes,yes,yes,YES,no,,2020,130000,BANK,YES,NO,APRIL,SERVICECASES BATTERIES WARRANTY
5/27/2020,B101L402377,Sec/Third T,14312.5,3437.5,0,10875,Home System,174,1564.0625,5,7,,1564.0625,,1564.0625,,,,,,,,,,,,,,,
5/3/2017,C102C102042,First Transh,6034.375,2065.625,1587.5,2381.25,One-tool system,0,1053.125,0,0,,1053.125,,1053.125,,,,,,,,,,,,,,,
6/19/2017,A103H602766,First Transh,553.125,65.625,0,487.5,One-tool system,1130,8793.75,6,0,,8793.75,,8793.75,,,,,,,,,,,,,,,
6/15/2017,B104C102064,First Transh,4478.125,540.625,0,3937.5,One-tool system,594,5482.1875,1,0,,5482.1875,,5482.1875,,,,,,,,,,,,,,,
9/8/2017,C105A50358,First Transh,7843.75,625,1593.75,5625,One-tool system,0,7671.86875,0,0,,5071.86875,,7671.86875,,,,,,,,,,,,,,,
8/29/2017,A106E50367,First Transh,3234.375,459.375,0,2775,One-tool system,421,7671.86875,1,0,,2600,,7671.86875,,,,,,,,,,,,,,,
9/28/2017,B107B50292,First Transh,2728.125,328.125,0,2400,One-tool system,1011,8696.875,0,0,,8696.875,,8696.875,,,,,,,,,,,,,,,
9/13/2017,C108E402182,First Transh,3281.25,393.75,0,2887.5,One-tool system,777,14968.75,2,0,B26,15765.625,,15765.625,MMM,yes,yes,yes,yes,YES,yes,50000,last month,180000,MOBILE MONEY,YES,NO,June,SERVICECASES BATTERIES WARRANTY
10/12/2017,A109AC0163,Second Transh,4987.5,390.625,1071.875,3525,One-tool system,815,1937.5,19,0,B4,1937.5,844,1937.5,MJK,no,no,,,,,,,,,,,,WRONG NUMBER
12/7/2017,B110K203190,Second Transh,10625,859.375,2115.625,7650,One-tool system,596,14984.375,16,0,B27,14984.375,625,14984.375,MMM,yes,yes,yes,,,,,,,,,,,CLIENT NOT COOPERATIVE 
11/16/2017,C111B302900,Second Transh,2587.5,840.625,771.875,975,One-tool system,214,3993.75,2,0,,3993.75,,3993.75,,,,,,,,,,,,,,,
12/12/2017,A112CB02353,Second Transh,5521.875,871.875,0,4650,One-tool system,864,7812.5,1,0,,7812.5,,7812.5,,,,,,,,,,,,,,,
2/9/2018,B113F102611,Second Transh,23843.75,2187.5,4556.25,17100,One-tool system,648,4475,8,0,,4475,,4475,,,,,,,,,,,,,,,
3/15/2018,C114C102448,Second Transh,1025,125,0,900,One-tool system,0,1150,0,0,,1150,,1150,,,,,,,,,,,,,,,
5/17/2018,A115E402561,Second Transh,3468.75,300,468.75,2700,One-tool system,0,775,0,0,,775,,775,,,,,,,,,,,,,,,
7/11/2018,B116L103798,Second Transh,7425,843.75,468.75,6112.5,One-tool system,0,6625,0,0,,6625,,6625,,,,,,,,,,,,,,,
7/20/2020,C117AB04245,Sec/Third T,11509.375,1159.375,0,10350,Home System,227,7170.625,7,16,,7123.75,,7170.625,,,,,,,,,,,,,,,
6/23/2018,A118FB0141,Second Transh,2259.375,271.875,0,1987.5,One-tool system,1079,6281.25,24,0,B33,6281.25,,6281.25,MMM,yes,yes,yes,yes,NO,no,,Don't recall,Don't remember,MOBILE MONEY,YES,NO,Don't remember,SERVICECASES BATTERIES WARRANTY
8/14/2018,B119K700158,Second Transh,4565.625,553.125,0,4012.5,One-tool system,0,200,0,0,,200,,200,,,,,,,,,,,,,,,
8/29/2018,C120H20214,Second Transh,2300,218.75,468.75,1612.5,One-tool system,626,14808.125,6,0,B4,14808.125,655,14808.125,MJK,yes,yes,yes,yes,YES,yes,not sure,,,,YES,YES,April ,CLIENT WILLING PAY OR LOCKDWN  
8/29/2018,A121H20214,Second Transh,2300,218.75,468.75,1612.5,One-tool system,626,9925,6,0,B4,9925,655,9925,MJK,yes,yes,yes,,,,,,,,,,,CLIENT WILLING PAY OR LOCKDWN  
10/16/2018,B122E402450,Second Transh,4565.625,553.125,0,4012.5,One-tool system,578,12251.5625,5,0,,11901.5625,,12251.5625,,,,,,,,,,,,,,,
10/31/2018,C123H60192,Second Transh,1665.625,203.125,0,1462.5,One-tool system,563,1250,1,0,,625,,625,,,,,,,,,,,,,,,
1/3/2019,A124A502333,Sec/Third T,7756.25,781.25,0,6975,One-tool system,593,4765.625,33,18,B2,4765.625,622,4765.625,MJK,yes,yes,yes,yes,yes,no,,,not sua,bank,yes,yes,not sure,CLIENT WILLING PAY OR LOCKDWN  
1/3/2019,B125A502333,Sec/Third T,7756.25,781.25,0,6975,One-tool system,593,5418.75,33,18,B2,5418.75,622,5418.75,MJK,yes,yes,yes,yes,NO,no,,29/01/2020,101000,Mobile Money,YES,YES,1 month,CLIENT WILLING PAY OR LOCKDWN  
11/26/2018,C126L10476,Second Transh,3500,425,0,3075,One-tool system,541,3609.375,1,0,,3609.375,,3609.375,,,,,,,,,,,,,,,
5/31/2020,A127K508394,First T,90869.025,6229.99375,0,84639.03125,Large Home System,321,7293.75,1,0,,7293.75,,7293.75,,,,,,,,,,,,,,,
5/18/2020,B128AA06037,Sec/Third T,6862.5,1012.5,0,5850,Home System,153,14706.25,6,29,,14706.25,,14706.25,,,,,,,,,,,,,,,
5/27/2020,C129H707911,Sec/Third T,21682.80938,2181.25,0,19501.55938,Large Home System,0,275,0,164,,275,,275,,,,,,,,,,,,,,,
5/19/2020,A130A105551,Sec/Third T,12418.75,1506.25,0,10912.5,Home System,59,9159.375,2,2,B2,9159.375,57,9159.375,YES,yes,yes,yes,yes,yes,yes,completed,291000,mombile money,yes,,,justus,CLAIMS TO HAVE COMPLETED PAYMNT
5/20/2020,B131H604042,Sec/Third T,6325,1150,0,5175,Home System,58,5537.5,2,3,B14,5537.5,87,5537.5,MJK,yes,yes,yes,no,NO,no,,last.months,160000=,bank,YES,YES,last.months,CLAIMS TO HAVE COMPLETED PAYMNT
5/31/2020,C132K508396,Sec/Third T,21296.86875,2581.25,0,18715.61875,Large Home System,202,21268.75,7,10,B19,24068.75,,22668.75,MMM,yes,yes,yes,yes,YES,no,,,,,,NO,,SERVICECASES BATTERIES WARRANTY
6/6/2020,A133AB03030,Sec/Third T,5550,675,0,4875,Home System,45,878.125,2,16,,878.125,,878.125,,,,,,,,,,,,,,,
6/30/2020,B134G905165,Sec/Third T,84987.7875,40625,0,44362.7875,Nonstandard System,136,7184.375,4,15,B10,7184.375,134,7184.375,MJK,,,,,,,,,,,,,,CLIENT NUMBER NOT AVAILABLE
6/15/2020,C135FB06611,Sec/Third T,12181.25,2656.25,0,9525,Home System,184,4000,6,28,,4000,,4000,,,,,,,,,,,,,,,
6/30/2020,A136FC08151,First T,80282.475,10251.225,0,70031.25,Large Home System,0,16656.875,0,0,,16656.875,,16656.875,,,,,,,,,,,,,,,
6/30/2020,B137FC08152,First T,73867.1625,3835.9125,0,70031.25,Large Home System,289,9296.875,1,0,,10018.75,,10018.75,,,,,,,,,,,,,,,
5/15/2020,C138HA02206,Sec/Third T,9090.625,915.625,0,8175,Home System,244,15175.9375,8,29,B9,14447.8125,273,15175.9375,MJK,yes,yes,yes,yes,YES,yes,NO MONEY ,NOT SURE,50000,MOBILE MONEY,YES,YES,A week ago,CLIENT WILLING PAY OR LOCKDWN  
12/14/2018,A139H603830,Sec/Third T,1665.625,203.125,0,1462.5,One-tool system,785,1637.5,11,0,,1637.5,,1637.5,,,,,,,,,,,,,,,
5/28/2020,B140AA06040,Sec/Third T,11212.5,1687.5,0,9525,Home System,207,6937.5,7,5,B3,6937.5,236,6937.5,MJK,no,no,no,no,,no,N,,NOT AVAIBLE,,,NOT AVAIBLE ,NOT AVAIBLE,CLIENT NUMBER NOT AVAILABLE
6/24/2020,C141K703638,Sec/Third T,9150,1875,0,7275,Home System,76,6937.5,3,16,,6937.5,,6937.5,,,,,,,,,,,,,,,
5/27/2020,A142F704470,First T,32786.55,20536.55,0,12250,Large Home System,293,7115.625,1,0,,7500,,7500,,,,,,,,,,,,,,,
6/30/2020,B143F704469,Sec/Third T,17989.05938,6250,0,11739.05938,Large Home System,16,1432.9875,1,15,,1432.9875,,1432.9875,,,,,,,,,,,,,,,
1/25/2019,C144E10253,Sec/Third T,12087.5,1212.5,0,10875,One-tool system,0,13525,0,0,,13525,,13525,,,,,,,,,,,,,,,
2/28/2019,A145L603464,Sec/Third T,3968.75,0,0,3968.75,One-tool system,0,4893.75,0,0,,4968.75,,4893.75,,,,,,,,,,,,,,,
3/15/2019,B146H70310,Sec/Third T,3500,425,0,3075,One-tool system,0,1625,0,0,,1625,,1625,,,,,,,,,,,,,,,
3/22/2019,C147F70158,Sec/Third T,4696.875,571.875,0,4125,One-tool system,450,5653.125,2,0,B35,5471.875,,5653.125,MMM,yes,yes,yes,yes,YES,yes,,9/1/2020 0:00,110000,MOBILE MONEY,YES,NO,4/1/2021 0:00,SERVICECASES BATTERIES WARRANTY
5/16/2019,A148DC02360,Sec/Third T,2390.625,290.625,0,2100,One-tool system,584,14093.75,21,0,,14093.75,,14093.75,,,,,,,,,,,,,,,
4/24/2019,B149L402213,Sec/Third T,2931.25,1843.75,0,1087.5,One-tool system,984,1792.5,1,0,,984.6875,,1792.5,,,,,,,,,,,,,,,
7/31/2019,C150B502680,Sec/Third T,3062.5,475,0,2587.5,One-tool system,382,912.5,4,0,B1,384.375,,912.5,MJK,,,,,,,,,,,,,,NOT CONTACTED AT ALL 
6/4/2020,A151H707915,Sec/Third T,10837.5,1087.5,0,9750,Home System,285,11024.6875,10,19,,5011.534375,,11024.6875,,,,,,,,,,,,,,,
5/27/2020,B152H707916,Sec/Third T,28658.74375,3906.25,0,24752.49375,Home System,109,2875,4,11,,2731.25,,2875,,,,,,,,,,,,,,,
6/5/2020,C153AB04250,Sec/Third T,5615.625,2615.625,0,3000,Home System,257,12646.875,4,0,B8,"12,647",286,12646.875,MJK,no,,,,,,,,,,,,,CLIENT NUMBER NOT AVAILABLE
6/22/2020,A154DC04538,Sec/Third T,5587.5,562.5,0,5025,Home System,0,8955.625,0,30,,8571.25,,8955.625,,,,,,,,,,,,,,,
7/28/2020,B155AB03074,Sec/Third T,6915.625,690.625,0,6225,Home System,288,725,10,16,,725,,725,,,,,,,,,,,,,,,
6/6/2020,C156A105561,Sec/Third T,12212.5,1562.5,0,10650,Home System,55,8312.5,2,6,,8168.75,,8312.5,,,,,,,,,,,,,,,
5/27/2020,A157H705972,Sec/Third T,12703.125,2128.125,0,10575,Home System,19,4562.5,1,11,,4343.75,,4343.75,,,,,,,,,,,,,,,
